Year,State,Kidney disease Deaths,Kidney disease Death rate,Alzheimers disease Deaths,Alzheimers disease Death rate,Stroke Deaths,Stroke Death rate,CLRD Deaths,CLRD Death rate,Diabetes Deaths,Diabetes Death rate,Heart disease Deaths,Heart disease Death rate,Influenze and Pneu Deaths,Influenze and Pneu Death rate,Suicide Deaths,Suicide Death rate,Cancer Deaths,Cancer Death rate,Unintentional Injury Deaths,Unintentional Injury Death rate
2016,Oklahoma,577,12.9,1590,36.1,1859,41.8,2794,61.4,1393,30.8,10209,228.2,546,12.4,822,21,8115,177.8,2592,64.1
2016,Oregon,398,7.7,1786,34.8,1943,37.8,2080,40.4,1240,24,6968,135,452,8.9,772,17.8,8078,155.9,2105,46
2016,Pennsylvania,2813,15.7,4185,21.7,6730,37,6523,36.8,3560,20.3,31990,176.2,2491,13.9,1970,14.7,28492,164.7,8410,61.8
2016,Rhode Island,141,9.9,422,26.7,399,26.8,445,31.3,239,16.9,2256,152.4,165,11,126,11.2,2171,158,675,56.6
2016,South Carolina,897,15.3,2481,45.3,2627,45.5,2870,47.5,1369,22.3,10195,173.8,690,12,815,15.7,10356,167.7,3012,58.9
2016,South Dakota,90,7.6,449,37.1,420,35.8,426,38.3,253,23.7,1729,153.4,195,16.7,163,20.2,1694,156.7,505,53.4
2016,Tennessee,1150,14.9,3250,44.2,3508,46,4318,54.7,1883,24,15429,198.8,1533,20.1,1111,16.3,14450,179.9,4238,61.1
2016,Texas,4125,15.8,9135,37.8,10673,42,10107,39.5,5470,20.3,43772,167.7,2860,11.1,3488,12.6,40195,148.5,10536,38.6
2016,United States,50046,13.1,116103,30.3,142142,37.3,154596,40.6,80058,21,635260,165.5,51537,13.5,44965,13.5,598038,155.8,161374,47.4
2016,Utah,370,15.2,904,39.3,932,38.8,875,35.8,624,24.6,3636,150,380,15.5,620,21.8,3125,122.4,1211,43.8
2016,Vermont,30,3.7,310,35.8,247,29.2,355,41.3,166,20.5,1366,158.8,59,7,118,17.3,1356,158.4,372,54.8
2016,Virginia,1543,16.6,2408,26.8,3502,38.2,3233,34.6,2062,21.7,14124,150.7,1177,12.7,1166,13.2,15027,156.1,3710,42.4
2016,Washington,532,6.6,3269,40.7,2910,35.8,3036,37.3,1673,20.3,11161,136.1,815,10,1141,14.9,12594,150.9,3221,41.4
2016,West Virginia,481,19.3,786,31.7,1039,41.7,1599,62.1,860,34.8,4767,191,423,17.3,362,19.3,4659,182.2,1705,89.7
2016,Wisconsin,960,13,2256,29.6,2481,33.3,2786,38.3,1440,19.9,11526,154.9,888,11.9,866,14.7,11498,158,3575,55.6
2016,Wyoming,66,10,138,21.2,208,31.7,327,48.9,112,16.6,1051,157.8,99,15,144,25.2,962,140.9,371,61.9
2015,Alabama,1040,18.4,2282,41.8,2937,52.2,3279,56.4,1255,21.7,12981,229.7,1097,19.5,750,14.9,10354,175.6,2552,50.9
2015,Alaska,50,10,68,16.7,182,36.8,204,37.8,142,23.9,846,154.1,41,8.4,201,26.9,978,159.8,388,57.9
2015,Arizona,458,5.5,2943,35.8,2522,30.7,3681,43.8,2081,25.3,11458,138.8,775,9.5,1276,18.2,11776,141.3,3539,49.2
2015,Arkansas,707,19.8,1457,41.5,1653,46.8,2270,62.4,886,24.7,7938,223.2,700,20,577,19.1,6727,185.4,1538,49.6
2015,California,3557,8.6,15065,35.7,15065,36.2,13621,33.1,8845,21.2,61289,145.6,6188,14.8,4167,10.3,59629,142.8,12544,30.6
2015,Colorado,458,8.5,1612,31.3,1856,34.9,2577,47.8,887,15.9,7009,128.4,659,12.3,1093,19.5,7604,134.4,2725,49.7
2015,Connecticut,584,12.1,966,19,1388,28.5,1369,29.7,653,13.9,7205,147.8,667,13.6,384,9.9,6666,146.2,1799,44.8
2015,Delaware,174,14.5,264,22.6,466,39.4,510,42.5,215,18.1,1940,165.2,189,16.1,122,12.6,2010,165.6,449,46
2015,District of Columbia,65,9.9,129,19.2,242,38.3,147,23.4,162,25.7,1217,187.6,104,16.2,34,4.9,1072,167.5,265,40.2
2015,Florida,3203,10.8,7031,21.8,11433,37.1,11705,38.4,5403,18.6,45441,149.8,2676,8.9,3205,14.4,44027,150.6,10578,46.2
2015,Georgia,1881,19.2,3714,42.4,4335,45.3,4607,46.7,2210,21.4,17769,180.2,1467,15.5,1317,12.7,16945,163,4344,43.2
2015,Hawaii,202,10.8,422,19.5,735,38.2,332,17.3,263,14.5,2605,135.6,557,27.4,201,13.5,2462,135.3,536,32.2
2015,Idaho,154,8.7,552,31.6,641,36.3,843,46.3,403,22.1,2825,156.4,218,12.4,359,22.1,2849,153.6,746,44.7
2015,Illinois,2543,17.3,3686,24.4,5709,38.4,5544,38.2,2817,19.2,25652,171.5,2343,15.7,1363,10.3,24713,167.6,4850,35.8
2015,Indiana,1450,18.9,2513,33.1,2959,39.1,4212,55.4,2030,26.9,13948,182.3,1044,13.9,960,14.4,13511,176.3,3258,47.7
2015,Iowa,336,8,1339,29.9,1418,33.2,2011,49.1,1077,26.7,6813,160.9,618,14.2,433,13.9,6513,164.1,1537,42.1
2015,Kansas,582,16.8,865,23.5,1364,38.6,1704,49.7,684,20.2,5624,158.5,682,18.9,477,16.3,5604,164.6,1475,47.2
2015,Kentucky,998,19.7,1694,34.9,2050,40.8,3331,64.3,1458,28.2,10077,197.8,967,19.3,776,17.1,10312,195.9,2962,66
2015,Louisiana,1160,23.2,2018,42.5,2280,46,2178,43.2,1199,23.5,10665,212.1,753,15.3,722,15.2,9397,180.2,2578,54.7
2015,Maine,211,11.4,544,28.4,616,32.6,1025,53.6,407,21.9,3009,157.3,333,17.6,235,16,3398,178,802,53.8
2015,Maryland,834,12.3,1095,16.4,2540,37.8,2040,30.7,1243,18.3,11481,169.3,1176,17.7,553,8.8,10568,155,1903,29.7
2015,Massachusetts,1228,14.3,1815,20.2,2475,28.4,2784,33,1398,16.7,12130,138.5,1512,17.1,642,8.9,12750,152.9,3229,44
2015,Michigan,1921,15.6,3771,30.1,4666,37.6,5848,47.5,2751,22.5,24794,198.9,1894,15.2,1410,13.8,20732,168,4647,43.9
2015,Minnesota,639,9.7,1789,26,2238,33.5,2351,36.4,1221,18.6,7844,116.6,738,10.9,730,13.2,9925,153,2574,42
2015,Mississippi,731,22,1402,44.1,1734,52.6,1924,57.1,1092,32.4,7969,240.5,791,24,431,14,6485,188.4,1814,59.8
2015,Missouri,1483,19.9,2173,28.7,3037,40.8,3935,52.8,1468,19.7,14808,197.9,1337,17.9,1052,17.1,12965,173.4,3309,50.9
2015,Montana,121,9.3,277,20.7,458,33.8,679,50.2,321,24.5,2104,155.8,183,13.7,272,25.3,2130,156.9,637,56.3
2015,Nebraska,264,11.2,598,24.8,776,33.4,1174,52.2,553,24.8,3591,154.5,397,16.9,223,11.7,3514,157.8,799,38.9
2015,Nevada,316,10.5,874,32.9,1078,37,1617,54.1,420,13.4,6114,200.9,630,21.3,558,18.4,5015,157.2,1340,45.4
2015,New Hampshire,194,11.4,432,25.5,457,26.9,705,41.9,308,17.9,2571,149,275,16.1,228,16.5,2773,161.3,815,59
2015,New Jersey,1582,14.4,2260,19.8,3413,31.1,3202,29.6,1933,17.9,18647,166.7,1402,12.5,789,8.3,16270,150.8,3218,33.7
2015,New Mexico,316,12.9,483,19.9,786,32.5,1109,44.7,608,24.9,3508,142.4,322,13.6,500,23.7,3591,143.3,1430,67.3
